"OAK	Athletics"
"TBR	Rays"
"HOU	Astros"
"CIN	Reds"
"NYY	Yankees"
"CLE	Indians"
"LAA	Angels"
"MIL	Brewers"
"BOS	Red Sox"
"SFG	Giants"
"MIN	Twins"
"LAD	Dodgers"
"PIT	Pirates"
"PHI	Phillies"
"TOR	Blue Jays"
"COL	Rockies"
"SDP	Padres"
"WSN	Nationals"
"ARI	D'backs"
"NYM	Mets"
"CHC	Cubs"
"CHW	White Sox"
"DET	Tigers"
"STL	Cardinals"
"TEX	Rangers"
"KCR	Royals"
"SEA	Mariners"
"ATL	Braves"
"BAL	Orioles"
"MIA	Marlins"
